"","V1","V2","V3","V4","V5","V6","V7","V8"
"3449",0,0,5,0,0,9,2,16
"3450",0,0,4,0,0,0,2,6
"3451",0,0,1,0,0,1,0,2
"3452",1,0,2,0,0,2,0,5
"3453",0,0,4,0,0,1,1,6
"3454",1,0,1,0,0,1,2,5
"3455",1,0,0,0,0,4,3,8
"3456",0,1,3,0,0,4,0,8
"3457",0,1,4,0,0,8,3,16
"3458",4,1,6,0,0,4,8,24
"3459",0,2,4,0,1,3,0,10
"3460",0,1,5,0,1,4,1,12
"3461",1,2,2,0,0,3,5,13
"3462",2,8,16,2,1,6,9,44
"3463",1,1,10,0,0,4,6,22
"3464",0,0,5,0,0,4,2,11
"3465",0,0,6,0,0,2,0,8
"3466",0,0,6,0,1,2,3,12
"3467",0,0,4,1,1,2,0,10
"3468",2,5,15,0,1,5,5,33
"3469",0,0,3,0,0,0,2,6
"3470",0,0,8,0,0,6,2,16
"3471",0,0,26,0,0,1,1,29
"3472",0,0,0,0,0,0,0,0
"3473",2,3,14,0,0,24,1,45
"3474",0,0,3,0,0,2,0,5
"3475",1,0,5,0,0,3,1,10
"3476",0,0,1,0,0,1,0,2
"3477",1,1,6,0,1,2,0,13
"3478",1,1,4,0,0,4,2,12
"3479",1,2,3,0,0,4,1,11
"3480",1,0,3,0,1,4,0,9
"3481",0,0,8,0,0,5,1,14
"3482",3,1,8,0,0,11,2,25
"3483",4,10,14,0,1,10,7,46
"3484",1,0,4,0,0,2,4,11
"3485",2,0,9,0,0,7,2,20
"3486",3,1,1,0,0,8,0,13
"3487",0,1,6,0,0,0,0,7
"3488",0,0,1,0,0,4,1,6
"3489",0,1,7,0,1,7,2,18
"3490",0,0,7,0,1,2,3,13
"3491",0,0,0,0,0,0,0,0
"3492",0,0,2,0,0,0,0,2
"3493",1,0,0,0,0,1,0,2
"3494",3,2,4,0,0,1,0,10
"3495",0,0,1,0,0,3,1,5
"3496",3,5,6,0,0,2,3,19
"3497",0,0,3,0,1,0,3,9
"3498",0,0,1,0,0,0,0,1
"3499",3,11,15,0,0,18,6,53
"3500",0,0,0,0,0,0,0,0
"3501",0,1,8,0,1,7,2,19
"3502",1,0,12,0,0,4,4,21
"3503",1,2,13,0,0,11,3,30
"3504",1,4,3,0,0,10,0,20
"3505",0,1,2,0,0,3,1,7
"3506",3,0,4,2,2,6,3,20
"3507",1,0,3,0,0,4,3,11
"3508",1,0,13,0,0,6,6,26
"3509",1,7,19,0,0,6,11,45
"3510",0,3,9,0,0,0,1,13
"3511",0,0,1,0,1,2,0,4
"3512",1,0,10,1,0,4,1,17
"3513",1,5,11,0,1,16,8,43
"3514",3,8,9,0,2,18,5,45
"3515",0,0,26,0,0,1,1,29
"3516",0,1,0,0,1,0,2,4
"3517",0,0,1,0,0,1,0,2
"3518",5,3,4,0,0,5,5,22
"3519",0,0,2,0,0,3,1,6
"3520",0,1,3,0,1,4,5,14
"3521",11,4,27,0,1,8,6,58
"3522",0,0,5,0,1,1,2,9
"3523",0,0,26,0,0,1,1,29
"3524",0,1,0,0,0,4,0,5
"3525",1,0,18,0,0,8,6,33
"3526",1,0,3,0,0,0,4,8
"3527",0,1,8,0,0,4,0,13
"3528",0,0,5,0,0,0,0,5
"3529",0,1,5,0,0,9,2,17
"3530",1,7,14,0,0,10,12,44
"3531",1,2,1,0,0,8,3,15
"3532",0,0,2,0,0,0,0,2
"3533",0,0,3,0,0,2,0,5
"3534",0,0,0,0,0,1,3,4
"3535",0,1,4,0,1,10,2,18
"3536",0,0,1,0,0,2,1,4
"3537",3,0,4,1,0,3,1,12
"3538",0,1,0,0,0,1,1,3
"3539",1,2,5,0,0,11,0,21
"3540",0,0,3,0,0,0,0,3
"3541",1,1,1,0,0,2,0,6
"3542",1,0,10,1,0,3,1,16
"3543",0,0,1,0,0,4,2,7
"3544",0,1,11,0,0,3,1,16
"3545",0,0,5,0,0,0,0,5
"3546",0,0,0,0,0,0,0,1
"3547",2,10,4,0,0,13,10,40
"3548",0,0,1,0,0,0,0,1
"3549",0,3,7,0,0,1,3,14
"3550",1,0,4,1,0,1,0,7
"3551",0,1,0,0,1,0,1,3
"3552",9,6,30,1,2,12,10,70
"3553",1,1,4,0,0,2,2,10
"3554",0,0,0,0,0,0,0,0
"3555",1,1,2,0,0,1,2,7
"3556",1,0,2,0,0,1,0,4
"3557",4,8,9,0,0,9,4,34
"3558",1,3,10,0,1,13,1,29
"3559",2,0,0,0,1,5,3,11
"3560",0,3,11,0,1,2,4,21
"3561",1,20,20,0,0,8,14,63
"3562",0,0,1,0,0,0,0,1
"3563",1,2,2,0,1,3,0,9
"3564",0,0,6,0,0,2,3,11
"3565",0,0,0,0,0,2,1,4
"3566",1,0,1,0,0,0,0,2
"3567",0,1,2,0,0,2,1,6
"3568",0,1,0,0,0,0,1,2
"3569",0,0,3,0,0,0,0,3
"3570",0,0,3,1,0,3,5,12
"3571",0,1,3,0,0,1,1,7
"3572",2,1,6,1,2,7,4,23
"3573",0,0,26,0,0,1,1,29
