"","x"
"920",105
"921",10
"922",24
"923",448
"924",10
"925",17
"926",159
"927",31
"928",292
"929",99
"930",9
"931",43
"932",649
"933",122
"934",32
"935",306
"936",9
"937",31
"938",20
"939",15
"940",128
"941",19
"942",72
"943",104
"944",26
"945",149
"946",21
"947",180
"948",289
"949",52
"950",68
"951",325
"952",181
"953",3
"954",23
"955",342
"956",74
"957",293
"958",76
"959",146
"960",381
"961",269
"962",267
"963",50
"964",133
"965",245
"966",36
"967",62
"968",25
"969",18
"970",45
"971",69
"972",420
"973",56
"974",106
"975",19
"976",26
"977",273
"978",89
"979",48
"980",130
"981",340
"982",377
"983",79
"984",166
"985",40
"986",107
"987",66
"988",68
"989",182
"990",109
"991",325
"992",46
"993",176
"994",239
"995",399
"996",88
"997",42
"998",67
"999",43
"1000",373
"1001",112
"1002",55
"1003",159
"1004",309
"1005",138
"1006",16
"1007",867
"1008",63
"1009",45
"1010",280
"1011",215
"1012",262
"1013",239
"1014",101
"1015",46
"1016",40
"1017",330
"1018",102
"1019",17
"1020",102
"1021",99
"1022",385
"1023",186
"1024",22
"1025",192
"1026",10
"1027",427
"1028",40
"1029",91
"1030",54
"1031",3
"1032",202
"1033",10
"1034",247
"1035",28
"1036",289
"1037",19
"1038",724
"1039",113
"1040",103
"1041",15
"1042",287
"1043",177
"1044",147
"1045",16
"1046",87
"1047",20
"1048",249
"1049",207
"1050",242
"1051",67
"1052",400
"1053",41
"1054",100
"1055",76
"1056",286
"1057",77
"1058",1068
"1059",42
"1060",162
"1061",156
"1062",12
"1063",374
"1064",39
"1065",78
"1066",54
"1067",247
"1068",20
"1069",94
"1070",301
"1071",25
"1072",55
"1073",45
"1074",59
"1075",67
"1076",664
"1077",156
"1078",19
"1079",59
"1080",31
"1081",178
"1082",50
"1083",143
"1084",194
"1085",86
"1086",84
"1087",36
"1088",396
"1089",169
"1090",188
"1091",134
"1092",59
"1093",395
"1094",90
"1095",13
"1096",11
"1097",309
"1098",40
"1099",125
"1100",34
"1101",41
"1102",49
"1103",21
"1104",198
"1105",352
"1106",81
"1107",16
"1108",353
"1109",50
"1110",27
"1111",41
"1112",91
"1113",142
"1114",476
"1115",16
"1116",110
"1117",44
"1118",122
"1119",32
"1120",741
"1121",33
"1122",67
"1123",92
"1124",412
"1125",310
"1126",629
"1127",78
"1128",46
"1129",345
"1130",1540
"1131",99
"1132",141
"1133",51
"1134",39
"1135",225
"1136",20
"1137",132
"1138",100
"1139",102
"1140",657
"1141",22
"1142",52
"1143",46
"1144",118
"1145",45
"1146",167
"1147",216
"1148",39
"1149",40
"1150",25
"1151",77
"1152",30
"1153",84
"1154",68
"1155",64
"1156",79
"1157",11
"1158",63
"1159",63
"1160",11
"1161",165
"1162",48
"1163",33
"1164",150
"1165",83
"1166",191
"1167",91
"1168",66
"1169",45
"1170",29
"1171",51
"1172",102
"1173",66
"1174",119
"1175",1534
"1176",71
"1177",24
"1178",384
"1179",123
"1180",323
"1181",22
"1182",14
"1183",139
"1184",172
"1185",21
"1186",297
"1187",129
"1188",33
"1189",206
"1190",158
"1191",87
"1192",21
"1193",201
"1194",70
"1195",1
"1196",30
"1197",74
"1198",48
"1199",73
"1200",70
"1201",57
"1202",22
"1203",25
"1204",68
"1205",648
"1206",58
"1207",71
"1208",19
"1209",49
"1210",75
"1211",48
"1212",245
"1213",2
"1214",17
"1215",35
"1216",90
"1217",259
"1218",6
"1219",41
"1220",144
"1221",36
"1222",40
"1223",68
"1224",35
"1225",136
"1226",30
"1227",9
"1228",62
"1229",191
"1230",836
"1231",46
"1232",35
"1233",81
"1234",87
"1235",86
"1236",605
"1237",187
"1238",49
"1239",166
"1240",20
"1241",28
